Model,Fold,MAE,RMSE,R2
Linear Regression (OLS),1,11.285098792338054,13.699675088966924,0.3878108211133767
Linear Regression (OLS),2,11.090284467719274,13.56071561613504,0.4011933654125026
Linear Regression (OLS),3,11.266282415379656,13.65083614169649,0.38788412901465474
Linear Regression (OLS),4,11.224947199322502,13.496354170177021,0.41137129917817183
Linear Regression (OLS),5,11.218304341384139,13.72973117067343,0.38697826075771113
Ridge Regression (alpha=10),1,11.307262614379232,13.718223192916021,0.38615200289582086
Ridge Regression (alpha=10),2,11.087730587828084,13.54053544355999,0.40297424928924264
Ridge Regression (alpha=10),3,11.26845953176239,13.637615857068878,0.3890691740038482
Ridge Regression (alpha=10),4,11.229923888530198,13.48295540929795,0.412539463584244
Ridge Regression (alpha=10),5,11.240122459610419,13.744000003074284,0.3857034142763992
Random Forest,1,10.177328545609564,12.719705164772988,0.4722609831264689
Random Forest,2,9.83126022993511,12.241973281093266,0.511995034171554
Random Forest,3,10.141387352248431,12.688043906044468,0.4711841319198178
Random Forest,4,9.857311257722845,12.197375143091557,0.5192256786887952
Random Forest,5,9.885847912891762,12.380562910856193,0.5015373855892006
XGBoost,1,9.754894603382457,12.146048927578969,0.5187894206321985
XGBoost,2,9.478587655647285,11.799061546217452,0.5466680590596034
XGBoost,3,9.937894972291362,12.352670733469775,0.4987702233424137
XGBoost,4,9.726358954562457,11.977385516152447,0.536411602706387
XGBoost,5,9.676614204578543,12.124317665704085,0.521957596063393
